"Alt","WY","Q.S80","Q.S308","Q.C44","mean.stg","TPLoad.kg.fit","TPLoad.kg.95LCI","TPLoad.kg.95UCI","TNLoad.kg.fit","TNLoad.kg.95LCI","TNLoad.kg.95UCI","S80.TNFWM","S80.TPFWM"
"NAV",2015,236100.485109302,152684.966307346,83415.5188019556,15.9027809381997,40417.0005267619,32336.4184426615,50516.847883968,404192.606622899,342625.275600528,476823.150195992,1.38844413164053,138.83664936071
"NAV",2016,491273.522970059,399181.683328033,92091.839642026,15.8056240367851,98722.0116451021,83382.3291201454,116883.705289794,925581.486490782,816732.451928666,1048937.2451302,1.52801713383018,162.977466037941
"REC",1966,86196.0441554808,6050.50376049685,80145.5403949839,13.4724129173425,16157.7441818454,13852.554283605,18846.5384578891,140434.473453534,125298.658164488,157398.663505887,1.32136658079736,152.030357346892
"REC",1967,216619.505710165,6388.35179662468,210231.153913541,14.6832621092006,41260.0613873715,31574.6759378795,53916.3939176757,368901.984382001,302572.493186234,449772.127822655,1.38118023307446,154.478922901822
"REC",1968,0,16945.4106532489,0,12.2563299166586,0,NA,NA,0,NA,NA,NA,NA
"REC",1969,213059.674991078,1184.38013305294,211875.294858025,14.2166181194151,42878.8547986074,32615.6867649255,56371.5307327902,365014.208359014,298045.763084792,447029.915557139,1.38945803037662,163.2220548376
"REC",1970,625048.796117901,331368.278065555,293680.518052346,15.1632753914414,136279.159520603,103483.448803286,179468.403251092,1207918.06505584,985056.205623876,1481200.81225636,1.5673301095584,176.828574885234
"REC",1971,134311.544565469,13579.9746781987,120731.569887271,14.532775409609,24025.936312023,19848.8130050529,29082.1227205091,221739.144747706,192482.361134034,255442.878109781,1.33895489732412,145.07878220773
"REC",1972,0,4631.33517855951,0,11.8093614824873,0,NA,NA,0,NA,NA,NA,NA
"REC",1973,0,4485.90885887898,0,11.527412798007,0,NA,NA,0,NA,NA,NA,NA
"REC",1974,0,11552.7952416124,0,11.5741081209369,0,NA,NA,0,NA,NA,NA,NA
"REC",1975,92822.1504054241,13791.5265282191,79030.623877205,13.0819358981254,18582.3786404349,15876.7378092008,21749.1023714192,153146.570996414,136293.988313065,172082.954635436,1.33811233821651,162.362826476598
"REC",1976,0,16073.659251959,0,12.0614494452988,0,NA,NA,0,NA,NA,NA,NA
"REC",1977,0,12775.8262983239,0,12.2893510029302,0,NA,NA,0,NA,NA,NA,NA
"REC",1978,2617.93460608023,13995.3088969337,0,11.7748718496359,285.073106357183,195.94362998229,414.745179394089,3534.86419005798,2677.57534130295,4666.6342677304,1.09509264519943,88.3149805285123
"REC",1979,166705.11712921,0,166705.11712921,14.1732199257247,32348.6837049917,25799.4073900116,40560.5183726325,280665.194737685,237356.49140226,331876.120479224,1.36545235733798,157.378211655507
"REC",1980,98773.0814302986,4776.74750788082,93996.3339224178,14.006718738425,17772.7536729515,15029.7648231848,21016.3483484552,160909.956719445,142117.067768597,182187.928431034,1.32123855622841,145.932842701561
"REC",1981,0.827521889211055,16232.0433045945,0,12.2765400397677,0.0139990726419907,0.00350870360444102,0.0558536875522015,0.678333760003732,0.24334370288343,1.89089211887772,NA,NA
"REC",1982,0,7020.00277399198,0,9.17605465125343,0,NA,NA,0,NA,NA,NA,NA
"REC",1983,225281.913046889,0,225281.913046889,14.0666811525325,46610.425552425,34799.0023264038,62430.8636724835,388504.95691625,312873.685083559,482418.652460933,1.39864392172973,167.800660525906
"REC",1984,193211.771389704,0,193211.771389704,14.7562837949957,35728.0967078134,27712.2525371359,46062.5455347699,325570.675645996,269711.794800697,392998.255485697,1.36662267423174,149.973049541885
"REC",1985,126532.750490983,691.523829935597,125841.226661047,14.7059538962159,21835.2240285326,17773.2237268791,26825.5785052185,207068.508064528,177781.789218414,241179.747490293,1.32723562179208,139.956033929833
"REC",1986,0,11783.1196107577,0,12.5754903455865,0,NA,NA,0,NA,NA,NA,NA
"REC",1987,47642.4408660599,4702.41276689505,42940.0280991648,13.3422864655372,8038.10803848291,6920.08310368031,9336.76371660353,74828.6514177732,66970.0060604853,83609.4753813441,1.27382813858879,136.834862134162
"REC",1988,62851.6705042605,5525.60887807948,57326.061626181,13.4971389527857,11016.7021447682,9503.8264803691,12770.4063618202,100245.485983706,89853.7451670747,111839.049573547,1.29355507432176,142.158131329453
