"Alt","WY","Q.S77","Q.S79","Q.C43","mean.stg","TPLoad.kg.fit","TPLoad.kg.95LCI","TPLoad.kg.95UCI","TNLoad.kg.fit","TNLoad.kg.95LCI","TNLoad.kg.95UCI"
"SPEF",1990,60015.6890841086,494487.593700354,434471.904616246,10.685199256219,135120.784429796,88532.073258806,181709.495600785,1011230.65200785,701569.74620159,1320891.55781411
"SPEF",1991,43177.4966765608,517672.304220321,474494.807543761,11.1311111785547,138117.757630867,96223.1734102599,180012.341851475,1055294.90090528,776834.420414281,1333755.38139627
"SPEF",1992,263966.786557315,1105636.41052145,841669.623964139,13.9657280144378,206757.750572156,174860.910269999,238654.590874312,2026404.21493621,1814395.67870364,2238412.75116878
"SPEF",1993,586950.164243988,1385189.36022973,798239.195985739,15.2251447175992,215666.91577498,187479.264053057,243854.567496903,2496384.82044618,2309030.12559904,2683739.51529331
"SPEF",1994,342350.512565495,969668.447224464,627317.93465897,14.7812527849169,165082.453813875,132965.977524,197198.930103749,1838443.77474453,1624975.38531588,2051912.16417319
"SPEF",1995,1601926.61984433,2571230.43557979,969303.81573546,16.0145497760504,328259.425113927,284556.631069797,371962.219158057,4379108.17122903,4088629.07339992,4669587.26905813
"SPEF",1996,1816170.50681248,3303162.50756542,1486992.00075294,15.9555901702284,448078.275950056,385962.503617817,510194.048282294,5510526.43564317,5097661.90597931,5923390.96530704
"SPEF",1997,355131.51943668,1062023.70588838,706892.186451697,14.4139063818678,184564.192402007,159344.682071362,209783.702732652,1973055.59488432,1805429.22753718,2140681.96223145
"SPEF",1998,1566754.96462721,3025612.64683079,1458857.68220358,14.9276322454313,429545.842721269,361777.779495464,497313.905947073,5051842.65310226,4601409.07561567,5502276.23058886
"SPEF",1999,423160.067975154,1196798.39862215,773638.330647,14.9169202962612,199476.419518125,171437.048385957,227515.790650294,2193408.38085994,2007039.26171522,2379777.50000467
"SPEF",2000,370734.575825215,1570562.74331359,1199828.16748837,15.008554672622,277842.936575039,223635.708963077,332050.164187001,2766211.41708607,2405912.56395921,3126510.27021294
"SPEF",2001,176214.377962223,448760.359137475,272545.981175252,12.2368622598871,101225.466162743,67880.6540817638,134570.278243722,978764.277679578,757131.516149891,1200397.03920927
"SPEF",2002,164659.566787097,744488.523146182,579828.956359085,11.752281849422,164163.836493129,126397.080996994,201930.591989263,1421766.44094038,1170742.3747589,1672790.50712187
"SPEF",2003,404731.077929143,953078.223319494,548347.14539035,13.4772621048196,164876.71981425,142630.385010404,187123.054618095,1788745.15122773,1640880.57173884,1936609.73071663
"SPEF",2004,631382.018152396,1398673.22686578,767291.208713388,14.9677999952486,215312.49470786,189871.071709922,240753.917705798,2513769.61485595,2344668.26192032,2682870.96779158
"SPEF",2005,705107.393004827,1413487.841365,708380.448360173,14.5107377251002,213475.044633214,190529.196710326,236420.892556102,2530395.62480849,2377881.59568637,2682909.6539306
"SPEF",2006,1832190.86627485,3064693.43328922,1232502.56701437,15.917684339178,399871.850645586,349927.828849562,449815.87244161,5144687.49381129,4812724.86509203,5476650.12253056
"SPEF",2007,207819.198696522,751268.927657638,543449.728961116,12.3649358947951,155949.203979564,128100.059175133,183798.348783995,1446916.72205128,1261811.97909286,1632021.4650097
"SPEF",2008,36473.0412178943,299678.107361604,263205.06614371,9.82711488042793,106200.821669054,52702.8470766739,159698.796261435,693459.658468985,337874.993113562,1049044.32382441
"SPEF",2009,218102.136054797,990002.945998681,771900.809943884,12.7597491147232,198518.509740079,161052.147617545,235984.871862614,1821808.3740905,1572780.93073522,2070835.81744579
"SPEF",2010,248178.193357906,1191729.08039998,943550.887042074,13.1318455404624,231798.648952757,183791.222706441,279806.075199072,2140376.81581236,1821286.14506382,2459467.48656091
"SPEF",2011,295552.390184804,813168.724745324,517616.33456052,13.5421560725499,149198.665234279,124778.669894233,173618.660574324,1570429.95834897,1408117.72247214,1732742.1942258
"SPEF",2012,172235.830387449,708221.482853022,535985.652465573,11.772779878274,156055.126994996,121043.805738573,191066.448251419,1366913.26596974,1134203.72794567,1599622.80399381
"SPEF",2013,275770.029838529,672079.158136871,396309.128298342,13.1741841982468,126610.190099388,97440.1058882559,155780.274310521,1345435.57379204,1151550.95083881,1539320.19674526
"SPEF",2014,508988.33082937,1521145.84326936,1012157.51243999,14.8527486383162,253885.347651583,218864.145700439,288906.549602727,2693569.86309957,2460794.65112143,2926345.0750777
"SPEF",2015,324937.890877735,887566.667403195,562628.77652546,15.2006000766173,147727.517962832,105073.87579144,190381.160134224,1720427.72909065,1436922.0226921,2003933.4354892
"SPEF",2016,787825.539452308,1592887.4463876,805061.906935295,15.4920352641838,231804.929789575,201770.898062318,261838.961516832,2829833.98148299,2630206.96378031,3029460.99918567
"SPLC",1966,363825.857851519,1136634.30619984,772808.448348324,13.7166684664428,203564.777232898,177832.904011557,229296.650454238,2073393.40210104,1902361.51541571,2244425.28878637
"SPLC",1967,860241.094892842,1789405.60111791,929164.50622507,15.3582514912764,263215.148514153,236717.807802442,289712.489225864,3131845.88764836,2955726.17280734,3307965.60248939
"SPLC",1968,178717.032494401,707798.383060907,529081.350566505,13.2068358771258,144219.696370504,120020.739420651,168418.653320358,1396410.89390775,1235567.83256708,1557253.95524843
"SPLC",1969,1030093.99678665,1853810.29457484,823716.297788194,14.6698784682951,262107.288787124,236145.274607312,288069.302966936,3224176.55245505,3051614.98924783,3396738.11566227
